Employee ID,Laptop Issued,Training Completed,Security Access Granted,Email Setup,Onboarding Complete
1,False,True,False,True,False
2,True,False,False,True,True
3,True,True,False,True,True
4,True,False,False,False,False
5,True,False,False,True,False
6,True,True,True,True,False
7,False,False,True,False,True
8,True,True,False,False,False
9,True,True,False,True,False
10,False,False,True,False,True
11,True,False,False,False,False
12,True,True,False,True,True
13,True,True,True,False,True
14,False,False,False,False,True
15,True,False,False,True,False
16,False,True,False,True,False
17,True,True,False,True,True
18,False,True,True,False,False
19,True,True,False,False,True
20,True,True,True,True,False
21,True,True,True,False,True
22,False,False,True,True,False
23,False,False,False,False,True
24,True,True,True,False,True
25,True,True,True,True,True
26,True,True,True,False,True
27,True,False,False,True,True
28,False,True,False,False,True
29,True,True,False,False,False
30,False,False,True,True,True
31,False,False,True,True,True
32,True,False,True,False,True
33,False,False,True,True,False
34,True,True,True,True,True
35,True,False,False,False,True
36,False,True,True,False,True
37,False,False,False,False,False
38,False,True,True,False,True
39,True,True,False,True,True
40,False,True,True,True,True
41,True,True,True,False,True
42,True,True,True,False,False
43,False,True,False,True,False
44,False,True,False,False,False
45,True,True,False,True,True
46,True,False,True,False,True
47,True,False,False,True,False
48,False,True,False,True,True
49,False,True,True,True,False
50,False,True,False,True,False
