Employee ID,Slack Messages,GitHub Commits,Jira Tickets Resolved,Slack Reactions,GitHub PRs Reviewed
1,258,62,16,13,2
2,324,54,17,11,0
3,170,98,8,163,8
4,82,94,28,141,22
5,218,71,0,28,2
6,483,88,9,139,1
7,427,47,37,141,4
8,220,16,2,78,11
9,460,5,22,53,21
10,127,85,6,90,24
11,286,52,39,191,4
12,473,30,10,45,28
13,211,3,11,188,29
14,170,100,26,171,27
15,376,31,17,40,25
16,359,13,24,9,27
17,240,28,12,117,11
18,156,29,14,6,21
19,98,51,21,71,27
20,35,98,17,89,20
21,260,51,43,137,10
22,480,3,7,66,5
23,297,33,2,27,19
24,222,44,46,80,13
25,310,65,7,98,28
26,295,24,16,11,22
27,223,0,33,137,21
28,368,94,47,171,6
29,186,55,4,170,29
30,169,79,20,169,27
31,63,92,19,129,9
32,341,52,20,103,22
33,151,70,8,49,13
34,340,48,43,191,28
35,89,78,36,77,12
36,280,0,19,73,6
37,220,100,37,155,20
38,164,59,28,113,21
39,109,65,30,188,5
40,337,10,18,131,21
41,324,79,21,23,26
42,487,96,15,172,9
43,115,25,9,6,1
44,125,60,39,196,2
45,233,53,40,147,6
46,367,89,24,126,12
47,124,18,41,176,0
48,457,96,49,27,24
49,217,28,11,178,16
50,237,6,35,63,29
